,Utility ID,Name,Plant Code,Nameplate Capacity (MW),Latitude,Longitude
502,59041,Lone Valley Solar Park II LLC,59237,20.0,39.13667,-121.639846
503,60605,"Rio Bravo Solar I, LLC",59249,20.0,34.033206,-117.906129
504,60606,"Rio Bravo Solar II, LLC",59250,20.0,34.204311,-117.855714
505,60607,"Wildwood Solar II, LLC",59253,15.0,32.7757,-115.2637
506,58661,"Sustainable Power Group, LLC",59262,5.0,32.7144,-115.5356
507,59089,Merced Solar LLC,59265,1.5,37.943633,-121.330433
508,59090,Mission Solar LLC,59267,1.5,32.7814,-117.0411
509,59091,Hollister Solar LLC,59268,1.5,38.722141,-123.011188
510,58661,"Sustainable Power Group, LLC",59269,1.5,33.906953,-118.013105
511,58661,"Sustainable Power Group, LLC",59270,1.5,35.0583,-118.3417
512,58661,"Sustainable Power Group, LLC",59271,1.5,35.075,-118.3417
513,58661,"Sustainable Power Group, LLC",59272,1.5,35.0583,-118.3083
514,58661,"Sustainable Power Group, LLC",59273,10.0,40.199822,-123.523145
515,58540,California PV Energy LLC,59283,1.0,32.7149,-117.1689
516,61230,"CD Arevon USA, Inc.",59300,1.5,36.4156,-119.0069
517,61230,"CD Arevon USA, Inc.",59300,1.5,35.440539,-119.012861
518,60865,"CD Global Solar Holdings, LLC",59308,37.8,35.354444,-119.6617
519,60865,"CD Global Solar Holdings, LLC",59309,47.3,35.220833,-119.583056
520,58661,"Sustainable Power Group, LLC",59315,56.0,33.7686,-118.2867
521,58661,"Sustainable Power Group, LLC",59316,56.0,38.1167,-121.8333
522,58661,"Sustainable Power Group, LLC",59317,50.0,33.918395,-116.573906
523,59121,"Pumpjack Solar I, LLC",59322,20.0,39.492,-121.5628
524,63249,Terraform Arcadia,59323,1.5,37.966389,-120.317777
525,58468,Dominion Renewable Energy,59334,18.0,38.3914,-120.0008
526,61230,"CD Arevon USA, Inc.",59339,108.0,38.144636,-120.380497
527,59139,SunEdison LLC,59359,1.5,38.596283,-121.687518
528,59139,SunEdison LLC,59360,1.0,35.576323,-119.006245
529,59158,"Wildwood Solar I, LLC",59380,19.5,35.05,-118.2572
530,59173,City of Tulare Water Pollution Control,59395,1.0,33.942,-116.661
531,59176,Diamond Valley Solar LLC,59405,1.3,39.558897,-121.296117
532,59183,Shafter Solar LLC,59408,20.0,40.0941,-123.508983
533,59185,"CD US Solar PO 3, LLC",59409,1.0,33.898856,-116.57281
534,59185,"CD US Solar PO 3, LLC",59410,1.5,33.893685,-116.567811
535,59185,"CD US Solar PO 3, LLC",59411,1.5,33.887401,-116.578231
536,59050,Algonquin Power Co,59412,20.0,35.0506,-118.1714
537,56769,Consolidated Edison Development Inc.,59413,19.8,35.0506,-118.1714
538,56769,Consolidated Edison Development Inc.,59414,20.0,32.7146,-115.518
539,59187,Anaheim Public Utilities,59416,2.1,32.7881,-115.2481
540,59139,SunEdison LLC,59421,1.5,33.1185,-117.0995
