Date,Hour,Interval,Wind Curtailment,Solar Curtailment
05/01/2020,16,3,,248
05/01/2020,16,4,,197
05/01/2020,16,5,,169
05/01/2020,16,6,,127
05/01/2020,16,7,,34
06/01/2020,8,1,,3
06/01/2020,8,2,,9
06/01/2020,8,6,,3
06/01/2020,8,7,,106
06/01/2020,8,8,,154
06/01/2020,8,9,,194
06/01/2020,8,10,60,323
06/01/2020,8,11,88,341
06/01/2020,8,12,122,324
06/01/2020,9,1,,256
06/01/2020,9,2,,166
06/01/2020,9,3,,108
06/01/2020,9,4,,247
06/01/2020,9,5,72,509
06/01/2020,9,6,31,551
06/01/2020,9,7,,554
06/01/2020,9,8,,533
06/01/2020,9,9,,670
06/01/2020,9,10,,514
06/01/2020,9,11,,481
06/01/2020,9,12,,556
06/01/2020,10,1,,589
06/01/2020,10,2,16,732
06/01/2020,10,3,13,779
06/01/2020,10,4,,254
06/01/2020,10,5,,117
06/01/2020,10,6,,260
06/01/2020,10,7,2,866
06/01/2020,10,8,,874
06/01/2020,10,9,,842
06/01/2020,10,10,,915
06/01/2020,10,11,,958
06/01/2020,10,12,,986
06/01/2020,11,1,,861
06/01/2020,11,2,,736
06/01/2020,11,3,,855
06/01/2020,11,4,,797
06/01/2020,11,5,70,804
06/01/2020,11,6,82,917
06/01/2020,11,7,118,852
06/01/2020,11,8,139,863
06/01/2020,11,9,137,861
06/01/2020,11,10,155,953
06/01/2020,11,11,154,976
06/01/2020,11,12,154,924
06/01/2020,12,1,153,874
06/01/2020,12,2,152,847
06/01/2020,12,3,153,831
06/01/2020,12,4,74,869
06/01/2020,12,5,67,839
06/01/2020,12,6,75,815
06/01/2020,12,7,3,843
06/01/2020,12,8,3,847
06/01/2020,12,9,3,801
06/01/2020,12,10,38,877
06/01/2020,12,11,91,837
06/01/2020,12,12,108,766
06/01/2020,13,1,2,694
06/01/2020,13,2,2,749
06/01/2020,13,3,2,739
06/01/2020,13,4,2,881
06/01/2020,13,5,2,860
06/01/2020,13,6,2,843
06/01/2020,13,7,2,902
06/01/2020,13,8,2,845
06/01/2020,13,9,2,887
06/01/2020,13,10,2,874
06/01/2020,13,11,2,863
06/01/2020,13,12,2,789
06/01/2020,14,1,133,888
06/01/2020,14,2,126,738
06/01/2020,14,3,126,787
06/01/2020,14,4,126,721
06/01/2020,14,5,125,786
06/01/2020,14,6,125,716
06/01/2020,14,7,125,952
06/01/2020,14,8,123,984
06/01/2020,14,9,122,966
06/01/2020,14,10,122,946
06/01/2020,14,11,121,947
06/01/2020,14,12,111,890
06/01/2020,15,1,1,899
06/01/2020,15,2,9,956
06/01/2020,15,3,13,787
06/01/2020,15,4,9,1143
06/01/2020,15,5,1,960
06/01/2020,15,6,1,787
06/01/2020,15,7,1,695
06/01/2020,15,8,,601
06/01/2020,15,9,,863
06/01/2020,15,10,,1021
06/01/2020,15,11,,793
06/01/2020,15,12,,599
06/01/2020,16,1,,647
06/01/2020,16,2,,887
06/01/2020,16,3,,938
06/01/2020,16,4,,894
06/01/2020,16,5,2,464
06/01/2020,16,6,,289
06/01/2020,16,7,,123
06/01/2020,16,8,,20
06/01/2020,17,1,,87
06/01/2020,17,6,,9
07/01/2020,7,12,,7
07/01/2020,8,1,,2
07/01/2020,8,2,,8
07/01/2020,8,4,,44
07/01/2020,8,6,,20
07/01/2020,8,7,,4
07/01/2020,8,12,,76
07/01/2020,9,3,,4
07/01/2020,9,4,,65
07/01/2020,9,5,,86
07/01/2020,9,6,,219
07/01/2020,9,7,55,483
07/01/2020,9,8,64,582
07/01/2020,9,9,55,628
07/01/2020,9,10,52,584
07/01/2020,9,11,,505
07/01/2020,9,12,,509
07/01/2020,10,1,,487
07/01/2020,10,2,,542
07/01/2020,10,3,,528
07/01/2020,10,4,,585
07/01/2020,10,5,,566
07/01/2020,10,6,,609
07/01/2020,10,7,,718
07/01/2020,10,8,,697
07/01/2020,10,9,,719
07/01/2020,10,10,,190
07/01/2020,10,11,,84
07/01/2020,10,12,38,120
07/01/2020,11,1,,839
07/01/2020,11,2,13,819
07/01/2020,11,3,2,777
07/01/2020,11,4,13,713
07/01/2020,11,5,11,692
07/01/2020,11,6,32,801
07/01/2020,11,7,34,739
07/01/2020,11,8,25,742
07/01/2020,11,9,23,785
07/01/2020,11,10,32,792
07/01/2020,11,11,32,795
07/01/2020,11,12,32,867
